Timestamp ID Value1 Value2 Value3 Value4 Byte1 Byte2 Byte3 Byte4
143407 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143399 0x2014 0 0 0 0 FF 71 0 0
143407 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143429 0x2014 0 0 0 0 0 29 0 0
143407 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143429 0x2014 0 0 0 0 0 29 0 0
143437 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143429 0x2014 0 0 0 0 0 29 0 0
143437 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143452 0x2014 0 0 0 0 FF 8C 0 1
143437 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143452 0x2014 0 0 0 0 FF 8C 0 1
143459 0x2114 0 0 0 0 FF FF FF FF
143414 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143452 0x2014 0 0 0 0 FF 8C 0 1
143459 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143452 0x2014 0 0 0 0 FF 8C 0 1
143459 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143481 0x2014 0 0 0 0 FF 6C 0 1
143459 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143481 0x2014 0 0 0 0 FF 6C 0 1
143489 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143481 0x2014 0 0 0 0 FF 6C 0 1
143489 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143504 0x2014 0 0 0 0 FF 7A 0 1
143489 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143504 0x2014 0 0 0 0 FF 7A 0 1
143511 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143504 0x2014 0 0 0 0 FF 7A 0 1
143511 0x2114 0 0 0 0 FF FF FF FF
143466 0x2214 0 C7 4 F5 2 FF FF FF
143213 0x2314 0 0 0 0 0 0 0 0
143526 0x2014 0 0 0 0 FF 8C 0 1
